doctor_id,drug_name,prescribed,age,gender,specialty_x,years_experience,location,hospital_affiliation,num_patients_per_day,prescription_volume,attended_drug_seminar,received_sample,drug_price_sensitivity,trust_in_pharma,brand_name,generic_drug_name,manufacturer,drug_type,average_cost_eur,efficacy_rating,side_effect_score,marketing_push,specialty_y
DOC0000,Drug_A,No,68,Other,Neurologist,3,Suburban,Yes,20,294,No,Yes,3,2,Advil,Ibuprofen,Pfizer,Analgesic,5.5,3.0,0.3,High,general therapeutics
DOC0000,Drug_B,No,68,Other,Neurologist,3,Suburban,Yes,20,294,No,Yes,3,2,Zoloft,Sertraline,Pfizer,Antidepressant,15.0,4.0,0.25,High,general therapeutics
DOC0000,Drug_C,No,68,Other,Neurologist,3,Suburban,Yes,20,294,No,Yes,3,2,Norvasc,Amlodipine,Pfizer,Antihypertensive,8.2,5.0,0.15,Medium,general therapeutics
DOC0000,Drug_D,No,68,Other,Neurologist,3,Suburban,Yes,20,294,No,Yes,3,2,Wellbutrin,Bupropion,GlaxoSmithKline (GSK),Antidepressant,28.0,3.5,0.6,Medium,general therapeutics
DOC0000,Drug_E,No,68,Other,Neurologist,3,Suburban,Yes,20,294,No,Yes,3,2,Aleve,Naproxen,Bayer,Analgesic,4.0,3.0,0.2,High,general therapeutics
DOC0000,Drug_F,No,68,Other,Neurologist,3,Suburban,Yes,20,294,No,Yes,3,2,Tenormin,Atenolol,AstraZeneca,Antihypertensive,6.0,3.0,0.4,Low,general therapeutics
DOC0000,Drug_G,No,68,Other,Neurologist,3,Suburban,Yes,20,294,No,Yes,3,2,Cozaar,Losartan,Merck & Co.,Antihypertensive,9.5,4.0,0.2,High,general therapeutics
DOC0000,Drug_H,No,68,Other,Neurologist,3,Suburban,Yes,20,294,No,Yes,3,2,Catapres,Clonidine,Boehringer Ingelheim,Antihypertensive,7.0,2.5,0.5,Low,general therapeutics
DOC0000,Drug_I,No,68,Other,Neurologist,3,Suburban,Yes,20,294,No,Yes,3,2,Cymbalta,Duloxetine,Eli Lilly and Company,Antidepressant,19.0,4.0,0.7,High,general therapeutics
DOC0000,Drug_J,No,68,Other,Neurologist,3,Suburban,Yes,20,294,No,Yes,3,2,Celebrex,Celecoxib,Pfizer,Analgesic,18.5,4.0,0.25,High,general therapeutics
DOC0001,Drug_A,No,58,Other,Pediatrician,14,Urban,Yes,28,202,No,No,2,5,Advil,Ibuprofen,Pfizer,Analgesic,5.5,3.0,0.3,High,general therapeutics
DOC0001,Drug_B,Yes,58,Other,Pediatrician,14,Urban,Yes,28,202,No,No,2,5,Zoloft,Sertraline,Pfizer,Antidepressant,15.0,4.0,0.25,High,general therapeutics
DOC0001,Drug_C,No,58,Other,Pediatrician,14,Urban,Yes,28,202,No,No,2,5,Norvasc,Amlodipine,Pfizer,Antihypertensive,8.2,5.0,0.15,Medium,general therapeutics
DOC0001,Drug_D,No,58,Other,Pediatrician,14,Urban,Yes,28,202,No,No,2,5,Wellbutrin,Bupropion,GlaxoSmithKline (GSK),Antidepressant,28.0,3.5,0.6,Medium,general therapeutics
DOC0001,Drug_E,No,58,Other,Pediatrician,14,Urban,Yes,28,202,No,No,2,5,Aleve,Naproxen,Bayer,Analgesic,4.0,3.0,0.2,High,general therapeutics
DOC0001,Drug_F,No,58,Other,Pediatrician,14,Urban,Yes,28,202,No,No,2,5,Tenormin,Atenolol,AstraZeneca,Antihypertensive,6.0,3.0,0.4,Low,general therapeutics
DOC0001,Drug_G,No,58,Other,Pediatrician,14,Urban,Yes,28,202,No,No,2,5,Cozaar,Losartan,Merck & Co.,Antihypertensive,9.5,4.0,0.2,High,general therapeutics
DOC0001,Drug_H,No,58,Other,Pediatrician,14,Urban,Yes,28,202,No,No,2,5,Catapres,Clonidine,Boehringer Ingelheim,Antihypertensive,7.0,2.5,0.5,Low,general therapeutics
DOC0001,Drug_I,No,58,Other,Pediatrician,14,Urban,Yes,28,202,No,No,2,5,Cymbalta,Duloxetine,Eli Lilly and Company,Antidepressant,19.0,4.0,0.7,High,general therapeutics
DOC0001,Drug_J,No,58,Other,Pediatrician,14,Urban,Yes,28,202,No,No,2,5,Celebrex,Celecoxib,Pfizer,Analgesic,18.5,4.0,0.25,High,general therapeutics
DOC0002,Drug_A,No,44,Female,General Physician,30,Urban,No,20,82,No,Yes,4,3,Advil,Ibuprofen,Pfizer,Analgesic,5.5,3.0,0.3,High,general therapeutics
DOC0002,Drug_B,Yes,44,Female,General Physician,30,Urban,No,20,82,No,Yes,4,3,Zoloft,Sertraline,Pfizer,Antidepressant,15.0,4.0,0.25,High,general therapeutics
DOC0002,Drug_C,Yes,44,Female,General Physician,30,Urban,No,20,82,No,Yes,4,3,Norvasc,Amlodipine,Pfizer,Antihypertensive,8.2,5.0,0.15,Medium,general therapeutics
DOC0002,Drug_D,No,44,Female,General Physician,30,Urban,No,20,82,No,Yes,4,3,Wellbutrin,Bupropion,GlaxoSmithKline (GSK),Antidepressant,28.0,3.5,0.6,Medium,general therapeutics
